classe,fichier,contraste,bords,couleur,verdict
Fighter,2xko_453.jpg,43.5,14.85,42.0,garde
Fighter,2xko_454.jpg,43.0,14.73,42.7,garde
Fighter,2xko_455.jpg,44.6,13.81,41.9,garde
Fighter,2xko_456.jpg,45.4,13.79,42.4,garde
Fighter,2xko_457.jpg,45.3,15.17,44.7,garde
Fighter,2xko_458.jpg,45.5,14.95,45.3,garde
Fighter,2xko_459.jpg,44.5,15.06,43.6,garde
Fighter,2xko_460.jpg,43.9,14.30,41.7,garde
Fighter,2xko_461.jpg,47.8,15.35,52.0,garde
Fighter,2xko_462.jpg,42.3,14.40,44.2,garde
Fighter,2xko_463.jpg,44.2,13.67,42.3,garde
Fighter,2xko_464.jpg,44.3,15.28,58.2,garde
Fighter,2xko_465.jpg,47.6,16.29,49.3,garde
Fighter,2xko_466.jpg,44.4,14.32,43.9,garde
Fighter,2xko_467.jpg,41.6,14.42,42.5,garde
Fighter,2xko_468.jpg,39.7,13.60,40.7,garde
Fighter,2xko_469.jpg,44.3,15.44,44.4,garde
Fighter,2xko_470.jpg,48.1,17.43,48.4,garde
Fighter,2xko_471.jpg,44.9,14.56,47.0,garde
Fighter,2xko_472.jpg,43.8,13.39,42.9,garde
Fighter,2xko_473.jpg,49.3,17.62,51.9,garde
Fighter,2xko_474.jpg,45.9,16.36,49.5,garde
Fighter,2xko_475.jpg,67.2,21.12,42.9,garde
Fighter,2xko_476.jpg,45.7,13.00,41.9,garde
Fighter,2xko_477.jpg,44.4,15.88,48.8,garde
Fighter,2xko_478.jpg,42.6,14.34,41.8,garde
Fighter,2xko_479.jpg,41.6,14.24,55.3,garde
Fighter,2xko_480.jpg,42.7,14.80,41.4,garde
Fighter,2xko_481.jpg,43.0,15.65,42.0,garde
Fighter,2xko_482.jpg,41.3,15.19,40.5,garde
Fighter,2xko_483.jpg,40.2,15.79,39.7,garde
Fighter,2xko_484.jpg,44.0,13.59,39.9,garde
Fighter,2xko_485.jpg,48.2,15.83,77.1,garde
Fighter,2xko_486.jpg,42.7,15.50,56.6,garde
Fighter,2xko_487.jpg,46.6,16.48,41.5,garde
Fighter,2xko_488.jpg,45.1,14.01,40.6,garde
Fighter,2xko_489.jpg,37.8,14.29,40.0,garde
Fighter,2xko_490.jpg,45.1,16.41,41.5,garde
Fighter,2xko_491.jpg,46.0,14.83,42.0,garde
Fighter,2xko_492.jpg,46.0,14.20,39.8,garde
Fighter,2xko_493.jpg,38.5,14.75,56.5,garde
Fighter,2xko_494.jpg,46.7,14.56,40.2,garde
Fighter,2xko_495.jpg,45.8,13.76,40.4,garde
Fighter,2xko_496.jpg,41.5,15.23,40.2,garde
Fighter,2xko_497.jpg,44.6,14.67,38.9,garde
Fighter,2xko_498.jpg,44.4,14.59,43.8,garde
Fighter,2xko_499.jpg,43.1,12.79,38.2,garde
Fighter,2xko_500.jpg,44.8,13.91,37.7,garde
Fighter,2xko_501.jpg,35.8,14.33,52.9,garde
Fighter,2xko_502.jpg,35.8,13.60,51.7,garde
Fighter,2xko_503.jpg,33.0,11.60,52.5,garde
Fighter,2xko_504.jpg,39.8,13.54,52.7,garde
Fighter,2xko_505.jpg,34.5,12.91,52.6,garde
Fighter,2xko_506.jpg,35.9,13.46,52.0,garde
Fighter,2xko_507.jpg,33.0,11.85,52.7,garde
Fighter,2xko_508.jpg,33.7,12.80,52.4,garde
Fighter,2xko_509.jpg,32.6,11.77,52.1,garde
Fighter,2xko_510.jpg,34.4,12.71,51.5,garde
Fighter,2xko_511.jpg,38.7,13.65,60.9,garde
Fighter,2xko_512.jpg,33.8,11.61,52.3,garde
Fighter,2xko_513.jpg,35.0,12.41,54.1,garde
Fighter,2xko_514.jpg,35.0,13.38,48.5,garde
Fighter,2xko_515.jpg,36.9,14.98,47.2,garde
Fighter,2xko_516.jpg,36.4,13.14,51.6,garde
Fighter,2xko_517.jpg,35.1,13.40,53.1,garde
Fighter,2xko_518.jpg,37.2,15.02,51.9,garde
Fighter,2xko_519.jpg,38.2,13.99,49.1,garde
Fighter,2xko_520.jpg,37.0,15.14,50.7,garde
Fighter,2xko_521.jpg,31.6,11.60,58.4,garde
Fighter,2xko_522.jpg,33.8,12.87,51.1,garde
Fighter,2xko_523.jpg,40.5,13.63,45.9,garde
Fighter,2xko_524.jpg,34.4,12.69,49.2,garde
Fighter,2xko_525.jpg,57.0,16.37,56.0,garde
Fighter,2xko_526.jpg,39.7,14.59,53.8,garde
Fighter,2xko_527.jpg,42.1,13.46,47.8,garde
Fighter,2xko_528.jpg,36.0,14.01,50.6,garde
Fighter,2xko_529.jpg,35.6,14.17,49.3,garde
Fighter,2xko_530.jpg,43.0,16.64,52.4,garde
Fighter,2xko_531.jpg,35.8,13.89,52.4,garde
Fighter,2xko_532.jpg,46.0,15.43,52.6,garde
Fighter,2xko_533.jpg,36.6,13.96,48.8,garde
Fighter,2xko_534.jpg,40.3,13.93,47.8,garde
Fighter,2xko_535.jpg,31.6,11.97,46.1,garde
Fighter,2xko_536.jpg,30.1,12.49,46.5,garde
Fighter,2xko_537.jpg,40.0,15.45,49.2,garde
Fighter,2xko_538.jpg,35.5,14.80,50.6,garde
Fighter,2xko_539.jpg,34.7,13.74,50.9,garde
Fighter,2xko_540.jpg,31.9,13.29,51.1,garde
Fighter,2xko_541.jpg,38.3,14.66,50.0,garde
Fighter,2xko_542.jpg,43.3,14.56,57.4,garde
Fighter,2xko_543.jpg,39.9,14.78,46.4,garde
Fighter,2xko_544.jpg,35.8,14.61,49.0,garde
Fighter,2xko_545.jpg,34.9,13.67,66.0,garde
Fighter,2xko_546.jpg,39.9,13.19,51.7,garde
Fighter,2xko_547.jpg,52.1,14.72,52.7,garde
Fighter,2xko_548.jpg,31.9,12.97,48.3,garde
Fighter,2xko_549.jpg,31.4,12.45,48.3,garde
Fighter,2xko_550.jpg,31.2,13.20,48.2,garde
Fighter,2xko_551.jpg,37.2,14.94,53.5,garde
Fighter,2xko_552.jpg,36.3,14.03,53.9,garde
Fighter,2xko_553.jpg,72.8,19.07,48.9,garde
Fighter,2xko_554.jpg,54.1,16.59,51.2,garde
Fighter,2xko_555.jpg,34.6,13.13,52.3,garde
Fighter,2xko_556.jpg,36.0,13.41,50.8,garde
Fighter,2xko_557.jpg,36.7,13.88,53.1,garde
Fighter,2xko_558.jpg,37.4,14.45,52.7,garde
Fighter,2xko_559.jpg,35.7,13.99,52.3,garde
Fighter,2xko_560.jpg,40.1,16.56,51.9,garde
Fighter,2xko_561.jpg,43.4,14.80,54.7,garde
Fighter,2xko_562.jpg,35.9,14.11,54.6,garde
Fighter,2xko_563.jpg,36.6,13.93,51.7,garde
Fighter,2xko_564.jpg,33.6,11.91,52.8,garde
Fighter,2xko_565.jpg,37.5,13.71,53.8,garde
Fighter,2xko_566.jpg,36.7,13.94,54.2,garde
Fighter,2xko_567.jpg,35.0,13.00,54.5,garde
Fighter,2xko_568.jpg,35.3,15.11,50.3,garde
Fighter,2xko_569.jpg,44.9,16.50,59.0,garde
Fighter,2xko_570.jpg,33.9,11.51,63.4,garde
Fighter,2xko_571.jpg,35.1,14.65,51.7,garde
Fighter,2xko_572.jpg,35.2,12.61,54.3,garde
Fighter,2xko_573.jpg,39.8,13.73,52.3,garde
Fighter,2xko_574.jpg,40.2,12.89,54.1,garde
Fighter,2xko_575.jpg,59.7,20.32,52.0,garde
Fighter,2xko_576.jpg,36.6,12.93,58.8,garde
Fighter,2xko_577.jpg,43.6,15.67,63.7,garde
Fighter,2xko_578.jpg,41.3,14.62,60.0,garde
Fighter,2xko_579.jpg,44.4,14.54,69.0,garde
Fighter,2xko_580.jpg,31.4,11.81,49.2,garde
Fighter,2xko_581.jpg,32.7,12.61,51.7,garde
Fighter,2xko_582.jpg,38.0,14.75,50.8,garde
Fighter,2xko_583.jpg,39.0,14.35,52.7,garde
Fighter,2xko_584.jpg,39.3,15.27,53.4,garde
Fighter,2xko_585.jpg,39.3,13.31,52.0,garde
Fighter,2xko_586.jpg,36.2,13.62,50.5,garde
Fighter,2xko_587.jpg,34.9,13.95,59.8,garde
Fighter,2xko_588.jpg,41.6,14.90,54.1,garde
Fighter,2xko_589.jpg,36.0,14.08,52.0,garde
Fighter,2xko_590.jpg,34.4,14.55,46.8,garde
Fighter,2xko_591.jpg,40.0,15.11,47.2,garde
Fighter,2xko_592.jpg,35.4,14.67,48.9,garde
Fighter,2xko_593.jpg,37.3,12.82,56.2,garde
Fighter,2xko_594.jpg,36.1,13.10,55.8,garde
Fighter,2xko_595.jpg,34.2,13.23,52.6,garde
Fighter,2xko_596.jpg,33.2,11.26,53.3,garde
Fighter,2xko_597.jpg,32.9,11.65,52.5,garde
Fighter,2xko_598.jpg,32.7,12.08,51.9,garde
Fighter,2xko_599.jpg,34.7,12.76,52.9,garde
Fighter,2xko_600.jpg,32.9,11.92,53.3,garde
Fighter,2xko_601.jpg,30.6,11.36,51.1,garde
Fighter,2xko_602.jpg,34.7,13.45,51.5,garde
Fighter,2xko_603.jpg,40.1,14.52,53.4,garde
Fighter,2xko_604.jpg,34.9,13.79,44.9,garde
Fighter,2xko_605.jpg,39.8,15.32,49.2,garde
Fighter,2xko_606.jpg,37.6,14.03,52.6,garde
Fighter,2xko_607.jpg,35.8,14.05,51.4,garde
Fighter,2xko_608.jpg,43.6,16.65,50.7,garde
Fighter,2xko_609.jpg,49.0,18.47,50.3,garde
Fighter,2xko_610.jpg,46.4,15.69,50.0,garde
Fighter,2xko_611.jpg,35.4,14.13,46.7,garde
Fighter,2xko_612.jpg,41.3,14.27,47.2,garde
Fighter,2xko_613.jpg,35.3,14.13,47.2,garde
Fighter,2xko_614.jpg,35.8,14.27,47.6,garde
Fighter,2xko_615.jpg,38.8,15.80,46.1,garde
Fighter,2xko_616.jpg,35.7,12.63,47.9,garde
Fighter,2xko_617.jpg,32.1,11.80,36.5,garde
Fighter,2xko_618.jpg,28.6,12.08,45.5,garde
Fighter,2xko_619.jpg,31.9,12.00,45.6,garde
Fighter,2xko_620.jpg,30.6,13.13,47.3,garde
Fighter,2xko_621.jpg,35.6,12.44,48.5,garde
Fighter,2xko_622.jpg,30.5,11.47,46.5,garde
Fighter,2xko_623.jpg,33.7,12.34,47.6,garde
Fighter,2xko_624.jpg,35.9,13.50,46.4,garde
Fighter,2xko_625.jpg,29.3,12.39,45.6,garde
Fighter,2xko_626.jpg,28.8,12.29,52.0,garde
Fighter,2xko_627.jpg,31.7,12.19,44.6,garde
Fighter,2xko_628.jpg,34.4,15.37,46.2,garde
Fighter,2xko_629.jpg,31.7,12.30,45.7,garde
Fighter,2xko_630.jpg,29.3,12.35,46.4,garde
Fighter,2xko_631.jpg,36.2,12.71,47.5,garde
Fighter,2xko_632.jpg,52.9,17.39,78.0,garde
Fighter,2xko_633.jpg,47.9,16.39,87.6,garde
Fighter,2xko_634.jpg,29.0,13.76,58.6,garde
Fighter,2xko_635.jpg,33.5,12.45,47.7,garde
Fighter,2xko_636.jpg,38.5,15.04,47.5,garde
Fighter,2xko_637.jpg,41.2,16.16,50.4,garde
Fighter,2xko_638.jpg,29.4,12.17,45.7,garde
Fighter,2xko_639.jpg,32.1,12.24,47.0,garde
Fighter,2xko_640.jpg,35.7,13.59,48.9,garde
Fighter,2xko_641.jpg,50.7,15.35,49.7,garde
Fighter,2xko_642.jpg,35.2,13.42,49.8,garde
Fighter,2xko_643.jpg,63.0,16.58,43.5,garde
Fighter,2xko_644.jpg,36.8,13.00,49.9,garde
Fighter,2xko_645.jpg,48.5,17.89,46.5,garde
Fighter,2xko_646.jpg,35.7,14.68,46.7,garde
Fighter,2xko_647.jpg,31.0,11.33,40.4,garde
Fighter,2xko_648.jpg,32.1,13.50,54.6,garde
Fighter,2xko_649.jpg,30.9,11.66,44.4,garde
Fighter,2xko_650.jpg,31.1,11.76,53.6,garde
Fighter,2xko_651.jpg,31.3,12.90,49.2,garde
Fighter,2xko_652.jpg,34.2,14.36,46.3,garde
Fighter,2xko_653.jpg,33.9,12.94,47.7,garde
Fighter,2xko_654.jpg,30.2,13.23,46.3,garde
Fighter,2xko_655.jpg,31.0,11.91,45.4,garde
Fighter,2xko_656.jpg,31.7,14.12,47.5,garde
Fighter,2xko_657.jpg,49.7,16.00,37.7,garde
Fighter,2xko_658.jpg,31.6,12.81,45.0,garde
Fighter,2xko_659.jpg,33.6,12.26,45.8,garde
Fighter,2xko_660.jpg,32.9,12.35,45.5,doublon (dHash)
Fighter,2xko_661.jpg,30.6,11.02,45.2,garde
Fighter,2xko_662.jpg,70.0,14.43,34.0,garde
Fighter,2xko_663.jpg,51.3,14.88,35.0,garde
Fighter,2xko_664.jpg,51.4,13.94,34.9,garde
Fighter,2xko_665.jpg,51.3,12.94,35.4,garde
Fighter,2xko_666.jpg,51.8,14.29,37.2,garde
Fighter,2xko_667.jpg,54.4,16.57,43.3,garde
Fighter,2xko_668.jpg,54.8,15.25,47.9,garde
Fighter,2xko_669.jpg,47.4,13.83,37.9,garde
Fighter,2xko_670.jpg,49.6,13.57,37.0,garde
Fighter,2xko_671.jpg,47.1,13.43,35.9,garde
Fighter,2xko_672.jpg,48.7,13.04,36.3,garde
Fighter,2xko_673.jpg,50.6,13.29,43.4,garde
Fighter,2xko_674.jpg,49.8,15.01,40.7,garde
Fighter,2xko_675.jpg,49.2,13.05,35.3,garde
Fighter,2xko_676.jpg,51.6,14.79,38.5,garde
Fighter,2xko_677.jpg,48.9,15.37,37.0,garde
Fighter,2xko_678.jpg,52.1,14.04,37.4,garde
Fighter,2xko_679.jpg,51.1,12.72,34.4,garde
Fighter,2xko_680.jpg,56.5,12.80,36.0,garde
Fighter,2xko_681.jpg,53.2,14.62,39.5,garde
Fighter,2xko_682.jpg,55.6,15.97,36.4,garde
Fighter,2xko_683.jpg,53.9,14.14,41.5,garde
Fighter,2xko_684.jpg,56.9,16.98,43.8,garde
Fighter,2xko_685.jpg,54.4,11.82,34.2,garde
Fighter,2xko_686.jpg,49.0,13.49,60.8,garde
Fighter,2xko_687.jpg,53.9,12.36,33.2,garde
Fighter,2xko_688.jpg,51.2,13.02,34.1,garde
Fighter,2xko_689.jpg,49.9,12.91,36.0,garde
Fighter,2xko_690.jpg,60.0,19.78,36.0,garde
Fighter,2xko_691.jpg,51.3,15.09,36.1,garde
Fighter,2xko_692.jpg,53.7,15.05,38.5,garde
Fighter,2xko_693.jpg,52.7,15.91,39.7,garde
Fighter,2xko_694.jpg,50.7,14.58,40.8,garde
Fighter,2xko_695.jpg,49.3,15.65,39.6,garde
Fighter,2xko_696.jpg,52.7,13.84,36.4,garde
Fighter,2xko_697.jpg,55.6,16.31,42.0,garde
Fighter,2xko_698.jpg,45.0,11.65,34.1,garde
Fighter,2xko_699.jpg,54.3,15.04,38.9,garde
Fighter,2xko_700.jpg,52.3,12.42,37.7,garde
Fighter,2xko_701.jpg,49.2,13.71,38.7,garde
Fighter,2xko_702.jpg,50.3,12.66,37.3,garde
Fighter,2xko_703.jpg,47.7,16.46,39.1,garde
Fighter,2xko_704.jpg,51.3,15.33,42.1,garde
Fighter,2xko_705.jpg,49.4,14.07,40.4,garde
Fighter,2xko_706.jpg,45.2,13.01,37.9,garde
Fighter,2xko_707.jpg,47.3,12.98,39.6,garde
Fighter,2xko_708.jpg,53.7,15.17,36.7,garde
Fighter,2xko_709.jpg,56.2,16.29,39.7,garde
Fighter,2xko_710.jpg,52.9,15.19,39.2,garde
Fighter,2xko_711.jpg,52.6,14.18,37.7,garde
Fighter,2xko_712.jpg,56.4,14.35,39.3,garde
Fighter,2xko_713.jpg,56.7,17.45,57.3,garde
Fighter,2xko_714.jpg,57.9,16.48,57.7,garde
Fighter,2xko_715.jpg,52.2,15.60,39.5,garde
Fighter,2xko_716.jpg,56.2,13.50,37.8,garde
Fighter,2xko_717.jpg,50.6,14.12,39.5,garde
Fighter,2xko_718.jpg,53.1,13.70,37.2,garde
Fighter,2xko_719.jpg,59.1,18.62,74.3,garde
Fighter,2xko_720.jpg,53.6,15.80,47.0,garde
Fighter,2xko_721.jpg,53.8,14.39,38.7,garde
Fighter,2xko_722.jpg,53.8,10.97,32.2,garde
Fighter,2xko_723.jpg,49.7,12.69,36.5,garde
Fighter,2xko_724.jpg,50.0,13.10,36.3,garde
Fighter,2xko_725.jpg,50.4,15.19,33.4,garde
Fighter,2xko_726.jpg,49.4,13.68,46.5,garde
Fighter,2xko_727.jpg,44.4,14.93,35.7,garde
Fighter,2xko_728.jpg,44.2,14.27,38.1,garde
Fighter,2xko_729.jpg,47.4,14.67,34.6,garde
Fighter,2xko_730.jpg,47.3,14.73,37.5,garde
Fighter,2xko_731.jpg,45.6,13.57,32.5,garde
Fighter,2xko_732.jpg,48.0,13.73,34.2,garde
Fighter,2xko_733.jpg,51.8,16.58,37.7,garde
Fighter,2xko_734.jpg,50.7,14.94,37.0,garde
Fighter,2xko_735.jpg,53.9,14.63,36.6,garde
Fighter,2xko_736.jpg,48.0,15.62,36.6,garde
Fighter,2xko_737.jpg,46.7,13.96,36.0,garde
Fighter,2xko_738.jpg,53.4,13.76,37.6,garde
Fighter,2xko_739.jpg,51.7,12.86,37.0,garde
Fighter,2xko_740.jpg,50.1,12.46,35.8,garde
Fighter,2xko_741.jpg,43.1,14.17,45.7,garde
Fighter,2xko_742.jpg,50.5,13.29,37.3,garde
Fighter,2xko_743.jpg,49.1,14.94,38.6,garde
Fighter,2xko_744.jpg,51.4,15.97,37.0,garde
Fighter,2xko_745.jpg,52.4,14.01,35.1,garde
Fighter,2xko_746.jpg,48.8,14.50,36.1,garde
Fighter,2xko_747.jpg,53.0,13.22,37.3,garde
Fighter,2xko_748.jpg,46.9,15.64,38.3,garde
Fighter,2xko_749.jpg,54.1,12.84,35.3,garde
Fighter,2xko_750.jpg,51.7,13.16,35.8,garde
Fighter,2xko_751.jpg,49.8,14.07,37.5,garde
Fighter,2xko_752.jpg,50.0,12.63,35.6,garde
Fighter,2xko_753.jpg,50.2,15.45,38.7,garde
Fighter,2xko_754.jpg,48.8,15.58,40.6,garde
Fighter,2xko_755.jpg,51.7,13.82,36.1,garde
Fighter,2xko_756.jpg,50.2,14.33,46.0,garde
Fighter,2xko_757.jpg,48.3,14.95,43.1,garde
Fighter,2xko_758.jpg,52.6,13.73,36.4,garde
Fighter,2xko_759.jpg,53.1,14.13,36.9,garde
Fighter,2xko_760.jpg,52.0,13.19,38.1,garde
Fighter,2xko_761.jpg,47.3,14.43,36.2,garde
Fighter,2xko_762.jpg,49.4,14.37,35.7,garde
Fighter,2xko_763.jpg,35.6,11.84,34.9,garde
Fighter,2xko_764.jpg,56.5,17.12,39.0,garde
Fighter,2xko_765.jpg,52.3,13.70,38.8,garde
Fighter,2xko_766.jpg,50.1,16.26,36.2,garde
Fighter,2xko_767.jpg,52.3,15.83,37.5,garde
Fighter,2xko_768.jpg,50.7,14.31,37.1,garde
Fighter,2xko_769.jpg,48.5,14.02,34.4,garde
Fighter,2xko_770.jpg,50.9,14.30,41.1,garde
Fighter,2xko_771.jpg,55.1,16.35,55.7,garde
Fighter,2xko_772.jpg,49.2,15.18,35.9,garde
Fighter,2xko_773.jpg,67.5,19.76,55.1,garde
Fighter,2xko_774.jpg,52.1,15.04,37.5,garde
Fighter,2xko_775.jpg,50.1,13.64,35.8,garde
Fighter,2xko_776.jpg,47.0,12.99,44.4,garde
Fighter,2xko_777.jpg,63.0,16.06,31.7,garde
Fighter,2xko_778.jpg,60.7,15.92,38.8,garde
Fighter,2xko_779.jpg,46.7,15.72,35.8,garde
Fighter,2xko_780.jpg,56.1,16.99,36.7,garde
Fighter,2xko_781.jpg,56.8,17.63,34.9,garde
Fighter,2xko_782.jpg,57.1,17.54,36.3,garde
Fighter,2xko_783.jpg,54.5,14.16,39.9,garde
Fighter,2xko_784.jpg,50.7,15.35,39.8,garde
Fighter,2xko_785.jpg,69.0,18.83,38.8,garde
Fighter,2xko_786.jpg,49.2,13.36,40.8,garde
Fighter,2xko_787.jpg,46.6,14.08,41.6,garde
Fighter,2xko_788.jpg,53.3,15.07,76.4,garde
Fighter,2xko_789.jpg,49.4,13.30,40.6,garde
Fighter,2xko_790.jpg,47.3,13.81,34.7,garde
Fighter,2xko_791.jpg,55.1,14.84,52.7,garde
Fighter,2xko_792.jpg,53.3,12.45,41.9,garde
Fighter,2xko_793.jpg,50.7,13.20,39.6,garde
Fighter,2xko_794.jpg,50.9,16.52,38.6,garde
Fighter,2xko_795.jpg,51.4,14.24,38.5,garde
Fighter,2xko_796.jpg,52.3,15.53,42.0,garde
Fighter,2xko_797.jpg,51.8,13.43,38.1,garde
Fighter,2xko_798.jpg,50.5,14.18,36.1,garde
Fighter,2xko_799.jpg,54.7,13.78,38.4,garde
Fighter,2xko_800.jpg,51.8,12.64,37.1,garde
Fighter,2xko_801.jpg,50.2,13.23,38.7,garde
Fighter,2xko_802.jpg,49.5,14.06,39.1,garde
Fighter,2xko_803.jpg,50.5,13.17,37.0,garde
Fighter,2xko_804.jpg,51.8,13.19,37.5,garde
Fighter,2xko_805.jpg,50.2,13.66,41.2,garde
Fighter,2xko_806.jpg,62.9,17.49,43.7,garde
